F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,Label
nan,1.357735,-0.645232,-1.524176,nan,-1.524176,-1.220206,0.606146,nan,-0.164011,0.139309,-1.854139,-1.155982,1.159030,0.932352,-1.934777,0.537243,1.053543,5.757696,-0.703544,-2.240894,-0.684588,0.272049,1.000000
-0.187455,-0.841512,-0.158584,-3.227462,0.172425,-3.227462,1.411919,nan,0.615673,-2.071475,1.470570,-0.971184,2.905608,2.377373,-0.415631,-6.031057,nan,3.321213,2.092218,1.869167,0.473742,1.466099,-0.118461,3.000000
nan,1.091768,0.440716,-1.613265,0.055077,-1.613265,-4.278591,1.618829,-0.730272,-3.829564,0.433174,-1.133441,-4.964076,3.795801,-0.534465,nan,-1.471547,1.306540,3.886876,-0.195097,-0.456806,1.616122,-0.764173,1.000000
-1.394021,1.590641,0.246730,4.965631,0.150593,4.965631,1.482024,2.224675,1.973746,2.656690,-1.234764,-0.868780,-2.538440,0.817206,0.334828,0.117789,-1.901424,-1.102605,2.783440,-1.216669,-2.725353,-1.620713,-0.628058,0.000000
0.606877,0.625310,-0.513682,2.623703,nan,2.623703,2.335449,0.078711,-0.581077,0.655329,-1.037900,-0.948079,-2.147521,3.959806,-1.217484,-5.670036,0.612314,-0.546315,0.063950,1.689753,-0.359699,1.610013,0.054129,1.000000
-1.301720,nan,1.038614,1.292326,0.331825,1.292326,0.461127,1.854410,-1.697131,-1.192029,0.531589,-0.554566,-0.306137,2.431650,-0.296910,-7.995728,1.372458,3.292458,3.764715,1.267731,-1.094157,nan,-0.108007,3.000000
-1.058520,-1.118153,0.510513,-5.737308,-0.909979,-5.737308,1.590422,3.407784,0.684586,-0.689144,2.088631,-4.451916,-1.074323,1.786617,-0.091922,-13.437214,1.666114,6.399815,12.145238,-0.164479,-5.108250,1.625257,0.941310,3.000000
0.079822,1.060486,nan,0.460828,0.035734,0.460828,-3.629374,-7.452839,1.044702,-1.902648,-1.176151,0.290915,4.469565,-2.988153,-1.973227,6.720122,2.485561,-2.258776,-0.393698,-0.818337,-0.210003,2.858458,-0.965660,2.000000
0.412210,1.241437,-1.297216,-1.297281,-1.981265,-1.297281,-2.608541,-0.216257,0.524138,nan,0.984339,1.616105,3.938490,-4.199188,0.624138,3.655734,0.300622,1.004185,0.731402,1.277417,0.610621,-1.744817,0.777285,0.000000
-0.509338,1.504389,1.475430,-2.831815,0.789123,-2.831815,-1.810304,0.893039,0.386266,-1.821889,0.105398,-4.136727,-3.572651,1.590235,-0.976825,-2.081362,-1.730685,-0.169048,5.628920,-0.569916,-2.437063,0.649899,1.039662,1.000000
-1.653515,-0.062416,0.974931,1.262286,1.160568,1.262286,-3.910039,-6.821745,0.729116,-2.652143,0.248636,-2.480208,3.229378,nan,nan,8.636252,1.302269,-4.607739,1.112911,nan,-1.515534,2.010198,-0.835845,3.000000
0.166056,nan,-0.494434,-0.919277,nan,-0.919277,-2.670429,0.159846,-0.486987,-2.017588,0.101792,nan,-0.378218,0.218111,0.180767,nan,-0.041517,-0.012055,-0.747089,-1.326932,1.308000,-0.366693,-2.788215,3.000000
0.169041,1.557076,0.163888,0.515032,-0.781774,0.515032,-0.811545,2.055533,1.596841,-3.863939,-0.101629,-0.104369,0.209462,-1.208367,0.779302,4.310718,-0.966475,-2.304446,-3.923178,2.865600,0.716736,-1.678683,-0.220307,3.000000
-0.267197,-2.514380,0.271756,0.839146,-0.022169,0.839146,0.021093,2.163105,1.219254,-1.597259,-0.323245,-0.622208,nan,-0.292376,-0.294916,-1.908835,-0.223845,1.495520,0.644445,1.195020,0.071440,1.025627,0.290097,3.000000
0.679419,-0.904953,0.783762,1.798167,0.643091,1.798167,-0.454778,-2.792014,-0.449715,-1.493660,-0.363940,0.334973,0.540391,0.655154,-0.839546,9.419493,1.365599,-3.858444,-5.424832,-2.510300,1.838531,-0.378320,1.266866,0.000000
-0.845259,0.718501,nan,-0.532089,0.477059,-0.532089,-1.813555,1.775687,0.312131,2.297667,1.603785,-3.175097,0.018181,-1.844164,-1.610347,6.556910,-0.566398,-0.370862,8.616407,-3.377357,-3.781751,-4.747107,0.733048,3.000000
nan,-1.155050,-0.025048,-0.319231,-0.788961,-0.319231,-2.347577,3.253297,nan,-1.458002,nan,-1.408864,-0.864900,1.881579,-0.549599,-4.510521,0.225549,3.830432,6.326349,-0.302923,-0.637321,0.839313,2.024843,1.000000
-0.631518,0.339386,-0.275053,0.223226,-1.069606,nan,-1.563238,-1.572615,-0.626424,-0.037954,-1.341366,2.848453,-0.060096,1.491593,-0.166467,-1.072217,2.826907,0.469464,1.791064,-0.228847,-1.288511,-1.802320,-0.671190,1.000000
-0.152862,-0.220636,0.543684,0.267836,-1.697703,0.267836,-0.691717,1.860600,-1.749540,nan,-0.537762,-1.125721,-1.862507,-0.196442,-0.576607,5.240149,-2.161405,-1.783519,-2.658028,-1.547035,0.761787,-0.586278,-0.205502,0.000000
-0.290884,0.685857,nan,0.053571,0.496802,0.053571,-0.339679,1.273505,-1.553674,-1.558695,-0.335425,-1.358229,3.173200,0.099592,-1.070388,1.765109,2.363039,1.455548,1.105856,0.509526,1.264246,0.127239,-1.799423,3.000000
1.252284,0.047326,-0.782517,0.010242,0.318957,0.010242,-0.460275,-5.140516,-1.043342,-0.338614,0.800216,-1.732959,4.373969,-1.749229,0.291508,-0.047157,2.131271,-0.735955,0.894009,2.084799,-0.008925,3.768928,1.091536,1.000000
-2.020420,nan,0.272404,-0.962704,0.010035,-0.962704,2.885474,3.226119,nan,-0.824246,-0.432609,0.530671,-0.680096,4.137617,-0.104553,-9.269885,2.787433,3.041859,0.500661,2.875673,nan,-0.158226,-0.596290,1.000000
-1.026611,0.775657,0.097825,-1.920359,0.266531,-1.920359,3.728485,nan,nan,-5.664311,-0.077946,-0.036165,-7.321080,0.893583,-0.546713,-9.858817,-4.721441,3.520032,-1.271746,-0.390490,-3.654029,-0.390495,-0.919007,0.000000
